,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
125,69088,0.29,-0.46,-0.62,14.51,16.34,-22.62,1.0
126,69199,0.43,-0.35,-0.86,1.65,-2.74,-18.17,1.0
127,69273,0.12,-0.51,-0.65,-29.88,-82.5,15.18,1.0
128,69385,0.11,-0.19,-0.94,-73.11,-11.1,-15.37,1.0
129,69496,0.05,-0.05,-0.82,-34.15,-14.94,10.06,1.0
130,69579,0.05,-0.29,-1.17,32.87,-115.49,38.05,1.0
131,69681,-0.04,-0.31,-1.12,31.34,-17.68,23.72,1.0
132,69788,-0.14,-0.25,-1.19,-7.07,-19.94,25.49,1.0
133,69871,-0.28,-0.17,-1.07,-0.24,-12.74,24.45,1.0
134,69982,-0.23,-0.15,-1.02,11.83,16.4,47.13,1.0
135,70084,-0.25,-0.12,-1.07,38.72,-25.12,77.87,1.0
136,70167,-0.46,-0.1,-0.75,-53.35,17.93,63.96,1.0
137,70279,-0.32,0.39,-0.85,-17.74,32.26,44.94,1.0
138,70390,-0.24,0.35,-1.18,-11.46,-42.01,11.83,1.0
139,70465,-0.35,0.21,-0.82,-5.67,-80.0,21.1,1.0
140,70576,-0.23,0.28,-0.73,-13.41,-0.55,61.46,1.0
141,70659,-0.31,0.35,-0.89,-2.44,39.02,20.85,1.0
142,70838,0.19,0.46,-1.16,-30.06,168.17,68.23,1.0
143,70943,0.43,0.35,-0.94,-54.27,188.54,31.59,1.0
144,71023,0.27,0.31,-0.77,-26.28,67.74,40.73,1.0
145,71138,0.43,0.35,-0.81,-68.6,-80.49,50.98,1.0
146,71246,0.81,0.44,-0.79,-85.06,155.06,30.24,1.0
147,71317,0.82,1.06,-0.5,-567.2,-0.98,-121.34,1.0
148,71425,0.67,0.89,-0.13,-173.05,-101.65,61.46,1.0
149,71532,0.83,0.69,0.08,-63.96,-125.55,72.01,1.0
150,71613,0.76,0.73,-0.35,-330.55,-310.98,62.8,1.0
151,71712,0.72,0.44,-0.41,-14.02,-229.02,121.83,1.0
152,71820,0.79,0.26,-0.48,-4.02,54.39,168.84,1.0
153,71899,1.04,0.16,-0.33,62.07,-14.82,113.96,1.0
154,72003,0.84,0.01,-0.51,18.9,-2.5,96.28,1.0
155,72073,1.29,-0.11,-0.26,-49.27,113.78,9.15,1.0
156,72181,0.93,-0.1,-0.3,-17.87,-61.04,109.7,1.0
157,72288,1.2,0.21,-0.35,-52.74,78.9,-45.24,1.0
158,72368,0.98,0.14,-0.33,-3.96,89.76,93.05,1.0
159,72467,0.86,-0.31,-0.13,42.62,41.65,81.83,1.0
160,72576,0.81,-0.3,0.02,24.15,57.87,-31.04,1.0
161,72659,0.93,-0.35,-0.09,-69.57,51.65,-39.63,1.0
162,72769,0.75,-0.31,0.15,-31.4,-12.32,73.35,1.0
163,72844,0.82,-0.48,0.18,-48.72,-35.43,68.41,1.0
164,72955,1.18,-0.39,-0.24,-44.33,17.26,-36.71,1.0
165,73066,1.08,-0.46,-0.01,10.3,-9.94,92.56,1.0
166,73149,1.0,-0.52,0.28,20.55,-102.07,101.52,1.0
167,73251,0.99,-0.5,-0.04,33.72,-113.48,43.35,1.0
168,73363,0.68,-0.48,-0.14,-34.7,-16.1,12.62,1.0
169,73446,0.77,-0.29,-0.33,-52.32,7.87,-10.43,1.0
170,73556,0.68,-0.59,-0.59,17.13,-46.1,129.27,1.0
171,73631,0.41,-0.71,-0.33,25.24,-41.89,13.05,1.0
